yearIndex,parfamName,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote
1955,NAT,11.643,0.0,16.653000000000002,3,19.871,-3.5556666666666668,10.25,6.623666666666666
1955,SIP,0.0,0.0,12.067000000000004,3,14.967,9.855666666666666,3.36,4.989
1955,SOC,14.186,0.0,84.983,13,369.429,-21.920153846153845,-14.0,28.41761538461538
1956,AGR,0.9,0.9,9.207,3,37.373000000000005,13.192666666666666,1.01,12.457666666666668
1956,CHR,9.649000000000001,7.2459999999999996,59.821,11,311.386,9.17490909090909,6.13,28.307818181818185
1956,CON,3.344,0.0,23.771000000000004,9,141.31500000000003,15.561111111111112,11.64,15.70166666666667
1956,ETH,4.561,0.0,12.345999999999998,2,9.18,1.245,-9.04,4.59
1956,LEF,3.8419999999999996,0.0,41.628,7,91.25200000000001,-22.123428571428576,-23.66,13.036000000000001
1956,LIB,5.806000000000001,1.819,47.483000000000004,14,158.873,4.4864999999999995,4.61,11.348071428571428
1956,NAT,16.143,0.0,13.153000000000002,3,15.441999999999997,-3.7556666666666665,10.25,5.147333333333332
1956,SIP,0.0,0.0,12.067000000000004,3,14.967,9.855666666666666,3.36,4.989
1956,SOC,15.799,2.0,81.68,13,373.377,-25.008615384615386,-14.0,28.721307692307693
1957,AGR,0.9,0.9,9.207,3,35.90400000000001,13.192666666666666,1.01,11.968000000000004
1957,CHR,7.9959999999999996,7.2459999999999996,41.742000000000004,10,310.259,22.373600000000003,6.13,31.0259
1957,CON,1.244,0.0,11.109000000000002,8,128.854,20.36575,11.64,16.10675
1957,ETH,4.561,0.0,12.345999999999998,2,9.18,1.245,-9.04,4.59
1957,LEF,4.8420000000000005,0.0,43.028,6,85.27300000000001,-27.60166666666667,-23.66,14.212166666666668
1957,LIB,5.008000000000001,1.819,37.571999999999996,12,127.89899999999999,4.482333333333333,4.61,10.658249999999999
1957,NAT,16.143,0.0,13.153000000000002,3,14.033999999999997,-3.7556666666666665,10.25,4.677999999999999
1957,SIP,0.0,0.0,0.0,1,5.314,15.9,3.36,5.314
1957,SOC,16.27,2.0,56.455,12,331.03400000000005,-29.621249999999993,-14.0,27.58616666666667
1958,AGR,1.6,0.0,4.209,3,38.079,7.445,1.01,12.693
1958,CHR,11.891,6.646,50.848,10,317.94500000000005,20.291800000000002,6.13,31.794500000000006
1958,CON,1.2000000000000002,0.0,7.4,7,143.712,13.828571428571427,11.64,20.530285714285714
1958,ETH,6.4399999999999995,0.0,8.696,2,8.709,1.0625,-9.04,4.3545
1958,LEF,21.121,1.9,33.329,6,78.532,-38.54,-23.66,13.088666666666667
1958,LIB,4.411,1.243,45.744,12,114.07199999999999,7.869416666666667,4.61,9.505999999999998
1958,NAT,16.143,0.0,9.396,3,12.963,3.2373333333333334,10.25,4.321
1958,SIP,0.0,0.0,0.0,1,5.314,15.9,3.36,5.314
1958,SOC,10.24,2.319,63.536,13,331.736,-19.85576923076923,-14.0,25.518153846153844
1959,AGR,1.6,0.0,4.209,3,38.079,7.445,1.01,12.693
1959,CHR,23.026000000000003,1.5710000000000002,39.335,10,308.942,15.664200000000003,6.13,30.8942
1959,CON,1.2000000000000002,0.0,7.4,7,143.712,13.828571428571427,11.64,20.530285714285714
1959,ETH,6.4399999999999995,0.0,8.696,2,8.709,1.0625,-9.04,4.3545
1959,LEF,21.121,1.9,32.492000000000004,6,78.432,-37.12016666666667,-23.66,13.072000000000001
1959,LIB,7.628,2.414,44.03,12,125.50999999999999,8.908833333333332,4.61,10.459166666666667
1959,NAT,9.843,0.0,7.196,3,14.146999999999998,11.703999999999999,10.25,4.7156666666666665
1959,SIP,0.0,0.0,0.0,1,5.314,15.9,3.36,5.314
1959,SOC,7.8839999999999995,0.319,77.399,13,331.24699999999996,-20.015923076923077,-14.0,25.48053846153846
1960,AGR,1.9,0.0,3.809,3,39.028,5.478333333333334,1.01,13.009333333333332
1960,CHR,23.026000000000003,1.5710000000000002,39.335,10,308.942,15.664200000000003,6.13,30.8942
1960,CON,1.2000000000000002,0.0,14.0,7,142.05400000000003,13.685714285714285,11.64,20.293428571428574
1960,ETH,6.4399999999999995,0.0,8.696,2,8.709,1.0625,-9.04,4.3545
1960,LEF,6.420999999999999,0.0,37.992,7,83.684,-41.574428571428584,-23.66,11.954857142857142
1960,LIB,9.128,2.414,64.598,12,119.83999999999999,9.729750000000001,4.61,9.986666666666666
1960,NAT,9.843,0.0,7.196,3,14.146999999999998,11.703999999999999,10.25,4.7156666666666665
1960,SIP,0.0,0.0,14.6,1,2.1519999999999997,-6.3,3.36,2.1519999999999997
1960,SOC,13.384000000000002,1.619,74.79899999999999,13,335.52,-23.092846153846153,-14.0,25.80923076923077
1961,AGR,1.9,0.0,3.809,3,38.186,5.478333333333334,1.01,12.728666666666667
1961,CHR,27.924999999999997,11.948,32.362,10,304.42400000000004,3.3953999999999995,6.13,30.442400000000003
1961,CON,1.2000000000000002,0.0,14.0,6,134.185,19.8,11.64,22.364166666666666
1961,ETH,6.4399999999999995,0.0,8.696,2,10.197,1.0625,-9.04,5.0985
